"ibge","bairro","altitude","logradouro","longitude","cep","latitude","estado","cidade","ddd"
2504009,"Presidente Médici",503.7,"Rua Ascendino Toscano de Brito",-35.9092914,"58417695",-7.2509641,"PB","Campina Grande",83
2504009,"Centro",531.6,"Rua Pedro Álvares Cabral",-35.87794,"58400206",-7.2192965,"PB","Campina Grande",83
2502607,"",315.8,"Igaracy",-38.1496514,"58775000",-7.1805176,"PB","Igaracy",NA
NA,"",272,"Olho D'Água",-37.7502531,"58760000",-7.2283144,"PB","Olho D'Água",NA
2504009,"Liberdade",524.6,"Rua Getúlio Cavalcante",-35.8948889,"58414245",-7.2393506,"PB","Campina Grande",83
2512309,"",685.4,"Princesa Isabel",-37.9916987,"58755000",-7.7362129,"PB","Princesa Isabel",83
2504504,"",255.7,"Condado",-37.6005909,"58714000",-6.9104011,"PB","Condado",NA
2507507,"Roger",8.6,"Rua Anísio Salatiel",-34.8857451,"58020000",-7.1121819,"PB","João Pessoa",83
2604007,"Bairro Novo",176,"Rodovia BR-408",-35.2413116,"55819320",-7.8392065,"PE","Carpina",81
2516607,"",714.9,"Tavares",-37.8789802,"58753000",-7.6366833,"PB","Tavares",83
2515302,"",126.7,"Sapé",-35.2302351,"58340000",-7.0961644,"PB","Sapé",83
2507101,"",79.7,"Itapororoca",-35.2457153,"58275000",-6.8286181,"PB","Itapororoca",83
2510808,"Centro",32.7,"AC Patos, Rua Presidente Epitácio Pessoa, 69",-49.0819218,"58700970",-26.4801686,"PB","Patos",83
2510808,"Centro",246.8,"Rua Presidente Epitácio Pessoa",-37.275037,"58700020",-7.0178331,"PB","Patos",83
2510808,"Distrito Industrial",102.9,"Rodovia BR-230",-49.3249009,"58705760",-5.2585369,"PB","Patos",83
2507507,"Portal do Sol",38.4,"Rua Maurício de Araújo Gama Filho (Lot Q Mares II)",-34.8167579,"58046710",-7.1523807,"PB","João Pessoa",83
2510808,"Belo Horizonte",252.3,"Rua Horácio Nóbrega, lado par",-37.2845684,"58704000",-7.0161292,"PB","Patos",83
2408102,"Nossa Senhora de Nazaré",56.4,"Rua Hidrógrafo Vital de Oliveira",-35.2356152,"59062240",-5.8170426,"RN","Natal",84
2507507,"Mangabeira",41.1,"Rua Elias Pereira de Araújo",-34.8402951,"58056010",-7.1722027,"PB","João Pessoa",83
2504009,"Jardim Paulistano",496,"Rua José Firmino da Silva",-35.8945744,"58415245",-7.2533384,"PB","Campina Grande",83
2504009,"Alto Branco",588.6,"Rua Doutor Vasconcelos, até 988 - lado par",-35.8797893,"58401624",-7.203853,"PB","Campina Grande",83
2504009,"Alto Branco",588.6,"Rua Doutor Vasconcelos, até 989 - lado ímpar",-35.8797893,"58401450",-7.203853,"PB","Campina Grande",83
2504108,"",375.9,"Carrapateira",-38.3440542,"58945000",-7.0387151,"PB","Carrapateira",NA
2504009,"Catolé",513.2,"Rua Vigário Calixto",-35.8792411,"58410340",-7.2409179,"PB","Campina Grande",83
2504009,"Distrito Industrial",244.2,"Avenida Jornalista Assis Chateaubriand",-37.288201,"58411450",-7.01514,"PB","Campina Grande",83
2501807,"São Bento",9.4,"Avenida Liberdade, de 1137/1138 a 2377/2378",-34.9055073,"58305006",-7.1204015,"PB","Bayeux",83
2507507,"Jaguaribe",51.4,"Avenida Primeiro de Maio, de 487/488 ao fim",-34.8762111,"58015435",-7.1336742,"PB","João Pessoa",83
2507507,"Jaguaribe",51.4,"Avenida Generino Maciel",-34.8762111,"58015700",-7.1336742,"PB","João Pessoa",83
2604007,"São Sebastião",187.4,"Rua João Batista de Carvalho",-35.2531749,"55818585",-7.8488617,"PE","Carpina",81
2511509,"",38.4,"Pilar",-35.258515,"58338000",-7.2669628,"PB","Pilar",83
2504009,"Malvinas",532.6,"Rua Olindina Pedro Santos",-35.9342721,"58432664",-7.2304728,"PB","Campina Grande",83
2514701,"",341,"São José do Sabugi",-36.7992396,"58610000",-6.7759968,"PB","São José do Sabugi",NA
2402006,"",164.7,"Caicó",-37.0936867,"59300000",-6.4599655,"RN","Caicó",84
2510808,"Sete Casas",260.5,"Rodovia BR-230",-37.2624058,"58705275",-7.0143574,"PB","Patos",83
2504009,"Centro",554.5,"Rua Presidente João Pessoa, de 472/473 a 897/898",-35.8896323,"58400034",-7.2164521,"PB","Campina Grande",83
2504009,"Centro",523.7,"Rua Presidente João Pessoa, até 470/471",-35.8734667,"58400002",-7.2223667,"PB","Campina Grande",83
2507507,"Bessa",6.5,"Avenida Campos Sales",-34.8408978,"58035000",-7.0743718,"PB","João Pessoa",83
2507507,"Aeroclube",4.9,"Rua Francisco Leocádio Ribeiro Coutinho",-34.8438038,"58036450",-7.0850754,"PB","João Pessoa",83
2510204,"",315,"Nova Olinda",-38.0411943,"58798000",-7.4785422,"PB","Nova Olinda",NA
2504009,"Centro",521.2,"Rua Capitão João de Sá",-35.8761928,"58400200",-7.2198133,"PB","Campina Grande",83
2514909,"",268.1,"São Mamede",-37.0966116,"58625000",-6.9273987,"PB","São Mamede",NA
2510808,"Liberdade",251.2,"Rua Santos Dumont",-37.2838944,"58703010",-7.0282894,"PB","Patos",83
2516201,"Centro",226.5,"Rua Emílio Pires",-38.2308291,"58800270",-6.7570731,"PB","Sousa",83
2507200,"",122.2,"Itatuba",-35.6279935,"58378000",-7.3770571,"PB","Itatuba",NA
2507507,"Centro",43.6,"Avenida Francisca Moura, até 473/474",-34.8450118,"58013440",-7.1194958,"PB","João Pessoa",83
2513406,"",307.4,"Santa Luzia",-36.9213103,"58600000",-6.8717979,"PB","Santa Luzia",NA
2504009,"Catolé",506.8,"Rua Guilhermino Barbosa",-35.8855957,"58410100",-7.2373644,"PB","Campina Grande",83
2510808,"Santo Antônio",246.8,"Rua Irineu Joffily, lado par",-37.275037,"58701000",-7.0178331,"PB","Patos",83
2507507,"Centro",56.2,"Rua das Trincheiras",-34.8846955,"58011000",-7.1258777,"PB","João Pessoa",83
2507507,"Torre",40.3,"Avenida Manoel Deodato, até 613/614",-34.8596574,"58040180",-7.1260002,"PB","João Pessoa",83
2513703,"Municípios",70.2,"Rua Sá Andrade",-34.9768306,"58302515",-7.1590164,"PB","Santa Rita",83
2507507,"Estados",41.4,"Avenida Presidente Epitácio Pessoa, de 1743 a 2559 - lado ímpar",-34.8541389,"58030002",-7.1128323,"PB","João Pessoa",83
2504009,"Monte Santo",586.4,"Rua Agrônomo João Maurício de Medeiros",-35.8982596,"58400690",-7.2134209,"PB","Campina Grande",83
2500775,"",217.1,"Aparecida",-38.0835406,"58823000",-6.7864776,"PB","Aparecida",83
2507507,"Cristo Redentor",50.8,"Rua Petrarca Grisi",-34.8789697,"58071710",-7.1630006,"PB","João Pessoa",83
2507507,"Cruz das Armas",41.5,"Avenida Cruz das Armas, até 2202/2203",-34.887245,"58085000",-7.1463677,"PB","João Pessoa",83
2503209,"Morada Nova",9.3,"Rodovia BR-230",-34.8513443,"58109303",-7.0847141,"PB","Cabedelo",NA
2503209,"Parque Esperança",8.9,"Rodovia BR-230",-34.8287221,"58108502",-6.9877215,"PB","Cabedelo",NA
2504009,"Estação Velha",516.2,"Avenida Professor Almeida Barreto",-35.8871681,"58410000",-7.2277111,"PB","Campina Grande",83
2509909,"",338.1,"Natuba",-35.5522023,"58494000",-7.6415183,"PB","Natuba",NA
2516102,"",519.9,"Soledade",-36.367118,"58155000",-7.058699,"PB","Soledade",83
2509602,"",726.8,"Monte Horebe",-38.5857769,"58950000",-7.2146435,"PB","Monte Horebe",83
2504009,"Cruzeiro",510.6,"Rua Aderaldo Vasconcelos Diniz",-35.901587,"58415605",-7.2559681,"PB","Campina Grande",83
2504009,"Centro",533.6,"Rua Vila Nova da Rainha",-35.879157,"58400220",-7.2205266,"PB","Campina Grande",83
2409100,"",176,"Passa e Fica",-35.6444991,"59218000",-6.4305855,"RN","Passa e Fica",NA
2510808,"Centro",245.4,"Rua Doutor Pedro Firmino",-37.2716204,"58700070",-7.0237551,"PB","Patos",83
2510808,"Centro",252.7,"Rua Leôncio Wanderley",-37.2784851,"58700120",-7.0268644,"PB","Patos",83
2504009,"São José",529.3,"Rua Doutor Chateaubriand",-35.8910138,"58400396",-7.226638,"PB","Campina Grande",83
2516003,"",628,"Solânea",-35.6591635,"58225000",-6.7580104,"PB","Solânea",83
2612802,"",818.8,"Santa Terezinha",-37.4790871,"56750000",-7.3773687,"PE","Santa Terezinha",NA
2516508,"",531.7,"Taperoá",-36.8243689,"58680000",-7.2101825,"PB","Taperoá",NA
2511004,"",302.9,"Pedra Branca",-38.0683607,"58790000",-7.4267046,"PB","Pedra Branca",NA
2512036,"",451.9,"Poço Dantas",-38.496682,"58933000",-6.4040413,"PB","Poço Dantas",NA
2507507,"Manaíra",9.8,"Rua João Câncio, de 501/502 a 1425/1426",-34.8339623,"58038341",-7.1077328,"PB","João Pessoa",83
2507507,"Costa e Silva",37.9,"Rua Francisco Sales Cavalcanti",-34.897094,"58081380",-7.1780807,"PB","João Pessoa",83
2506202,"",370,"Frei Martinho",-36.4536876,"58195000",-6.4027843,"PB","Frei Martinho",NA
2604601,"",135,"Condado",-35.100755,"55940000",-7.5857543,"PE","Condado",81
2510501,"",558.4,"Olivedos",-36.2429467,"58160000",-6.9902658,"PB","Olivedos",NA
2507507,"Estados",41.4,"Avenida Santa Catarina, de 623/624 ao fim",-34.8541389,"58030071",-7.1128323,"PB","João Pessoa",83
2504009,"Centro",528.2,"Rua Quebra Quilos",-35.8774007,"58400208",-7.2211282,"PB","Campina Grande",83
2505238,"",69.8,"Cuité de Mamanguape",-35.2505359,"58289000",-6.9133286,"PB","Cuité de Mamanguape",NA
2510808,"Centro",251.3,"Rua Peregrino de Carvalho",-37.279559,"58700160",-7.027116,"PB","Patos",83
2503605,"",109.1,"Caiçara",-35.4703297,"58253000",-6.6164647,"PB","Caiçara",NA
2502102,"",321.8,"Boa Ventura",-38.2176477,"58993000",-7.4219014,"PB","Boa Ventura",NA
2610707,"Janga",7.8,"Rua Itapetim",-34.8228465,"53437720",-7.9246342,"PE","Paulista",81
