"ibge","bairro","altitude","logradouro","longitude","cep","latitude","estado","cidade","ddd"
2611606,"Imbiribeira",7.9,"Avenida Antônio Torres Galvão",-34.9046441,"51160330",-8.1132334,"PE","Recife",81
2606804,"Umbura",26.5,"Rua Canário do Império (Lot Rumo Leste II)",-34.8975168,"53625539",-7.8660436,"PE","Igarassu",81
2508307,"",634.5,"Lagoa Seca",-35.8537249,"58117000",-7.1549934,"PB","Lagoa Seca",83
2516300,"",525.3,"Sumé",-36.879064,"58540000",-7.670398,"PB","Sumé",83
2501807,"Imaculada",11.3,"Largo do Mercado",-34.9248191,"58309080",-7.1331546,"PB","Bayeux",83
2501807,"Sesi",14.7,"Rua Francisca Almeida",-34.9148168,"58305350",-7.122526,"PB","Bayeux",83
2513927,"",256,"São Bentinho",-37.7277546,"58857000",-6.8898627,"PB","São Bentinho",NA
2512002,"",646.3,"Pocinhos",-36.0598184,"58150000",-7.0777037,"PB","Pocinhos",NA
2504009,"Liberdade",526.7,"Rua Dom Anselmo de Pietrula",-35.8947759,"58414063",-7.2374259,"PB","Campina Grande",83
2513703,"Municípios",63.3,"Rua Pombal",-34.9657704,"58302300",-7.1514498,"PB","Santa Rita",83
2507507,"João Paulo II",50.1,"Rua Valdemar Naziazeno",-34.8737063,"58076003",-7.1787529,"PB","João Pessoa",83
2501807,"Centro",13.1,"Rua Petrônio Figueiredo",-34.9318211,"58307210",-7.1285824,"PB","Bayeux",83
2501807,"Imaculada",13,"Rua Osvaldo Cruz",-34.9274964,"58309490",-7.1325256,"PB","Bayeux",83
2504603,"",93,"Conde",-34.9120662,"58322000",-7.2602822,"PB","Conde",83
2504009,"Nova Brasília",521.4,"Rua Doutor Antônio Bezerra Camboim",-35.8615476,"58406785",-7.2198631,"PB","Campina Grande",83
2504207,"",294,"Catingueira",-37.6077239,"58715000",-7.1257813,"PB","Catingueira",NA
2513703,"Centro",17.2,"Praça Antenor Navarro",-34.9795115,"58300010",-7.1235396,"PB","Santa Rita",83
2504009,"Liberdade",522.5,"Rua Riachuelo",-35.893504,"58414140",-7.2380388,"PB","Campina Grande",83
2509206,"",532.8,"Massaranduba",-35.7334547,"58120000",-7.1805317,"PB","Massaranduba",NA
2504009,"Jardim Tavares",523.7,"Rua Apolônio Amorim",-35.8734667,"58402090",-7.2223667,"PB","Campina Grande",83
2604007,"São Sebastião",184.6,"Rua Santos Dumont",-35.251034,"55818510",-7.8496227,"PE","Carpina",81
2514453,"",104.8,"São José dos Ramos",-35.3682096,"58339000",-7.2556629,"PB","São José dos Ramos",NA
2613602,"",597.8,"São José do Egito",-37.2746574,"56700000",-7.4686612,"PE","São José do Egito",87
2504009,"Alto Branco",539.4,"Rua Franklin Araújo, de 1/2 a 99997/99998",-35.88677,"58401430",-7.2081158,"PB","Campina Grande",83
2504009,"Santo Antônio",529.4,"Rua Santo Antônio",-35.8716472,"58406025",-7.2175764,"PB","Campina Grande",83
2507507,"José Américo de Almeida",23.6,"Rua Julieta Gonçalves Rezende",-34.8498117,"58074675",-7.1761674,"PB","João Pessoa",83
2504009,"José Pinheiro",512.6,"Rua Amélia Vieira",-35.8711409,"58407505",-7.2294633,"PB","Campina Grande",83
2507507,"Gramame",48,"Rua Funcionário Pedro Alves da Silva",-34.8789697,"58068088",-7.1994077,"PB","João Pessoa",83
NA,"",640.5,"São Sebastião de Lagoa de Roça",-35.8670456,"58119000",-7.1049751,"PB","São Sebastião de Lagoa de Roça",NA
2507507,"Varjão",50.7,"Avenida São Judas Tadeu",-34.8709619,"58070100",-7.151359,"PB","João Pessoa",83
2513109,"",58.1,"Salgado de São Félix",-35.4401442,"58370000",-7.3555209,"PB","Salgado de São Félix",NA
2504009,"Velame",496.7,"Avenida Deputado Raimundo Asfora",-35.9097595,"58420000",-7.2800272,"PB","Campina Grande",83
2517001,"",532.5,"Umbuzeiro",-35.6653832,"58497000",-7.6963786,"PB","Umbuzeiro",NA
2507705,"",554.5,"Juazeirinho",-36.5794208,"58660000",-7.0693466,"PB","Juazeirinho",83
2513943,"",407.7,"São Domingos do Cariri",-36.4326841,"58485000",-7.6349305,"PB","São Domingos do Cariri",NA
2507507,"Jaguaribe",48.6,"Rua Doutor Silvino Nóbrega",-34.8812451,"58015120",-7.1374034,"PB","João Pessoa",83
2506905,"",48.9,"Itabaiana",-35.3330235,"58360000",-7.3296633,"PB","Itabaiana",NA
3525904,"Tijuco Preto",781.6,"Rodovia Anhangüera, do km 46,500 ao km 51,998 - lado par",-46.8561323,"13205700",-23.2578786,"SP","Jundiaí",11
4119152,"Alto Tarumã",893,"Rua Corbélia",-49.1965880543,"83325260",-25.4482400063,"PR","Pinhais",41
4106902,"Centro",934,"Rua Emiliano Perneta, de 372/373 ao fim",-49.2643301007,"80420080",-25.4201699923,"PR","Curitiba",41
5300108,"Asa Sul",1048.4,"CRS 505 Bloco C",-47.9140722,"70350530",-15.8321684,"DF","Brasília",61
5300108,"Asa Sul",1084.6,"Galeria dos Estados",-47.9045093,"70310500",-15.8202434,"DF","Brasília",61
