"Ano","UF","Município","Escola","Rede","Etapa escolar","Ideb","Aprendizado","Fluxo","Alerta","Atenção","Melhorar","Manter","Link do município no QEdu"
"2015","PB","AGUA BRANCA","-","Pública","Anos Iniciais","6","6.45","0.92","-","-","-","-","http://www.qedu.org.br/cidade/3723-agua-branca/ideb"
"2015","PB","AGUIAR","-","Pública","Anos Iniciais","4.6","5.03","0.92","-","-","-","-","http://www.qedu.org.br/cidade/3724-aguiar/ideb"
"2015","PB","ALAGOA GRANDE","-","Pública","Anos Iniciais","4.1","5.27","0.77","-","-","-","-","http://www.qedu.org.br/cidade/3725-alagoa-grande/ideb"
"2015","PB","ALAGOA NOVA","-","Pública","Anos Iniciais","4.4","5.27","0.83","-","-","-","-","http://www.qedu.org.br/cidade/3726-alagoa-nova/ideb"
"2015","PB","ALAGOINHA","-","Pública","Anos Iniciais","4.2","4.86","0.86","-","-","-","-","http://www.qedu.org.br/cidade/3727-alagoinha/ideb"
"2015","PB","ALCANTIL","-","Pública","Anos Iniciais","4.6","5.27","0.88","-","-","-","-","http://www.qedu.org.br/cidade/3728-alcantil/ideb"
"2015","PB","ALGODAO DE JANDAIRA","-","Pública","Anos Iniciais","4","4.76","0.84","-","-","-","-","http://www.qedu.org.br/cidade/3729-algodao-de-jandaira/ideb"
"2015","PB","ALHANDRA","-","Pública","Anos Iniciais","3.9","4.44","0.89","-","-","-","-","http://www.qedu.org.br/cidade/3730-alhandra/ideb"
"2015","PB","AMPARO","-","Pública","Anos Iniciais","5.3","5.57","0.95","-","-","-","-","http://www.qedu.org.br/cidade/3732-amparo/ideb"
"2015","PB","APARECIDA","-","Pública","Anos Iniciais","4.5","4.99","0.91","-","-","-","-","http://www.qedu.org.br/cidade/3733-aparecida/ideb"
"2015","PB","ARACAGI","-","Pública","Anos Iniciais","4","4.51","0.89","-","-","-","-","http://www.qedu.org.br/cidade/3734-aracagi/ideb"
"2015","PB","ARARA","-","Pública","Anos Iniciais","4.8","5.66","0.85","-","-","-","-","http://www.qedu.org.br/cidade/3735-arara/ideb"
"2015","PB","ARARUNA","-","Pública","Anos Iniciais","4.3","4.68","0.93","-","-","-","-","http://www.qedu.org.br/cidade/3736-araruna/ideb"
"2015","PB","AREIA","-","Pública","Anos Iniciais","4","4.52","0.88","-","-","-","-","http://www.qedu.org.br/cidade/3737-areia/ideb"
"2015","PB","AREIA DE BARAUNAS","-","Pública","Anos Iniciais","0","0","0.87","-","-","-","-","http://www.qedu.org.br/cidade/3738-areia-de-baraunas/ideb"
"2015","PB","AREIAL","-","Pública","Anos Iniciais","5.1","5.4","0.95","-","-","-","-","http://www.qedu.org.br/cidade/3739-areial/ideb"
"2015","PB","AROEIRAS","-","Pública","Anos Iniciais","4.1","4.59","0.89","-","-","-","-","http://www.qedu.org.br/cidade/3740-aroeiras/ideb"
"2015","PB","ASSUNCAO","-","Pública","Anos Iniciais","4.6","4.97","0.92","-","-","-","-","http://www.qedu.org.br/cidade/3741-assuncao/ideb"
"2015","PB","BAIA DA TRAICAO","-","Pública","Anos Iniciais","4.6","4.98","0.92","-","-","-","-","http://www.qedu.org.br/cidade/3742-baia-da-traicao/ideb"
