Lugar;Espacialidade;"COD IBGE";"IDHM (2010)";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)"
"Boa Vista (PB)";Município;250215;0,649;0,590;0,796;0,582
"Bom Jesus (PB)";Município;250220;0,597;0,584;0,762;0,477
"Bom Sucesso (PB)";Município;250230;0,592;0,558;0,752;0,494
"Bonito de Santa Fé (PB)";Município;250240;0,574;0,564;0,786;0,427
"Boqueirão (PB)";Município;250250;0,607;0,592;0,763;0,496
"Borborema (PB)";Município;250270;0,558;0,544;0,750;0,426
"Brejo do Cruz (PB)";Município;250280;0,597;0,575;0,798;0,463
"Brejo dos Santos (PB)";Município;250290;0,619;0,564;0,776;0,541
"Caaporã (PB)";Município;250300;0,602;0,565;0,757;0,509
"Cabaceiras (PB)";Município;250310;0,611;0,574;0,759;0,523
"Cabedelo (PB)";Município;250320;0,748;0,782;0,822;0,651
"Cachoeira dos Índios (PB)";Município;250330;0,587;0,583;0,766;0,453
"Cacimba de Areia (PB)";Município;250340;0,596;0,553;0,771;0,497
"Cacimba de Dentro (PB)";Município;250350;0,564;0,551;0,777;0,419
"Cacimbas (PB)";Município;250355;0,523;0,501;0,672;0,425
"Caiçara (PB)";Município;250360;0,592;0,580;0,733;0,488
"Cajazeiras (PB)";Município;250370;0,679;0,668;0,815;0,574
"Cajazeirinhas (PB)";Município;250375;0,550;0,521;0,773;0,413
"Caldas Brandão (PB)";Município;250380;0,568;0,562;0,723;0,451
"Camalaú (PB)";Município;250390;0,567;0,549;0,770;0,431
"Campina Grande (PB)";Município;250400;0,720;0,702;0,812;0,654
"Capim (PB)";Município;250403;0,533;0,520;0,728;0,400
"Caraúbas (PB)";Município;250407;0,585;0,580;0,710;0,485
"Carrapateira (PB)";Município;250410;0,603;0,529;0,765;0,543
"Casserengue (PB)";Município;250415;0,514;0,492;0,730;0,379
"Catingueira (PB)";Município;250420;0,574;0,553;0,753;0,455
"Catolé do Rocha (PB)";Município;250430;0,640;0,617;0,787;0,539
"Caturité (PB)";Município;250435;0,623;0,617;0,782;0,502
"Conceição (PB)";Município;250440;0,592;0,577;0,754;0,476
"Condado (PB)";Município;250450;0,594;0,573;0,769;0,476
"Conde (PB)";Município;250460;0,618;0,591;0,797;0,500
"Congo (PB)";Município;250470;0,581;0,562;0,731;0,477
"Coremas (PB)";Município;250480;0,592;0,578;0,794;0,452
"Coxixola (PB)";Município;250485;0,641;0,586;0,794;0,567
"Cruz do Espírito Santo (PB)";Município;250490;0,552;0,531;0,778;0,408
"Cubati (PB)";Município;250500;0,566;0,545;0,742;0,448
"Cuité (PB)";Município;250510;0,591;0,574;0,766;0,470
"Cuité de Mamanguape (PB)";Município;250523;0,524;0,529;0,683;0,398
"Cuitegi (PB)";Município;250520;0,570;0,563;0,732;0,450
"Curral de Cima (PB)";Município;250527;0,529;0,528;0,715;0,392
"Curral Velho (PB)";Município;250530;0,606;0,613;0,739;0,491
"Damião (PB)";Município;250535;0,521;0,503;0,720;0,391
"Desterro (PB)";Município;250540;0,580;0,551;0,724;0,490
"Diamante (PB)";Município;250560;0,593;0,562;0,748;0,496
"Dona Inês (PB)";Município;250570;0,545;0,524;0,690;0,447
"Duas Estradas (PB)";Município;250580;0,603;0,565;0,795;0,488
"Emas (PB)";Município;250590;0,595;0,554;0,773;0,492
"Esperança (PB)";Município;250600;0,623;0,598;0,767;0,526
"Fagundes (PB)";Município;250610;0,560;0,543;0,749;0,432
"Frei Martinho (PB)";Município;250620;0,641;0,631;0,770;0,542
"Gado Bravo (PB)";Município;250625;0,513;0,491;0,737;0,373
"Guarabira (PB)";Município;250630;0,673;0,641;0,812;0,586
"Gurinhém (PB)";Município;250640;0,556;0,544;0,728;0,435
"Gurjão (PB)";Município;250650;0,625;0,576;0,729;0,581
"Ibiara (PB)";Município;250660;0,586;0,548;0,768;0,479
"Igaracy (PB)";Município;250260;0,610;0,575;0,794;0,496
"Imaculada (PB)";Município;250670;0,557;0,524;0,715;0,461
"Ingá (PB)";Município;250680;0,592;0,573;0,768;0,471
"Itabaiana (PB)";Município;250690;0,613;0,592;0,727;0,536
"Itaporanga (PB)";Município;250700;0,615;0,607;0,742;0,517
"Itapororoca (PB)";Município;250710;0,564;0,543;0,757;0,437
"Itatuba (PB)";Município;250720;0,562;0,549;0,742;0,436
"Jacaraú (PB)";Município;250730;0,558;0,554;0,720;0,435
"Jericó (PB)";Município;250740;0,603;0,577;0,798;0,476
"João Pessoa (PB)";Município;250750;0,763;0,770;0,832;0,693
"Juarez Távora (PB)";Município;250760;0,579;0,544;0,768;0,465
"Juazeirinho (PB)";Município;250770;0,567;0,557;0,753;0,435
"Junco do Seridó (PB)";Município;250780;0,617;0,571;0,715;0,576
"Juripiranga (PB)";Município;250790;0,548;0,544;0,677;0,448
"Juru (PB)";Município;250800;0,570;0,552;0,758;0,443
"Lagoa (PB)";Município;250810;0,563;0,533;0,747;0,448
"Lagoa de Dentro (PB)";Município;250820;0,570;0,539;0,772;0,444
"Lagoa Seca (PB)";Município;250830;0,627;0,621;0,769;0,516
"Lastro (PB)";Município;250840;0,533;0,532;0,747;0,380
"Livramento (PB)";Município;250850;0,566;0,523;0,732;0,473
"Logradouro (PB)";Município;250855;0,583;0,544;0,776;0,470
"Lucena (PB)";Município;250860;0,583;0,577;0,734;0,469
"Mãe d'Água (PB)";Município;250870;0,542;0,520;0,712;0,429
"Malta (PB)";Município;250880;0,642;0,620;0,800;0,533
"Mamanguape (PB)";Município;250890;0,585;0,585;0,756;0,453
"Manaíra (PB)";Município;250900;0,543;0,537;0,698;0,426
"Marcação (PB)";Município;250905;0,529;0,525;0,691;0,408
"Mari (PB)";Município;250910;0,548;0,553;0,692;0,429
"Marizópolis (PB)";Município;250915;0,608;0,582;0,753;0,512
"Massaranduba (PB)";Município;250920;0,567;0,552;0,747;0,441
"Mataraca (PB)";Município;250930;0,536;0,533;0,675;0,427
"Matinhas (PB)";Município;250933;0,541;0,531;0,747;0,400
"Mato Grosso (PB)";Município;250937;0,565;0,566;0,760;0,419
"Maturéia (PB)";Município;250939;0,572;0,540;0,730;0,474
"Mogeiro (PB)";Município;250940;0,574;0,538;0,732;0,481
"Montadas (PB)";Município;250950;0,590;0,545;0,748;0,505
"Monte Horebe (PB)";Município;250960;0,587;0,579;0,755;0,463
"Monteiro (PB)";Município;250970;0,628;0,625;0,709;0,558
"Mulungu (PB)";Município;250980;0,565;0,548;0,778;0,423
