Santa Teresinha;Código: 2513802

Ensino - Matrículas, Docentes e Rede Escolar 2009
Matrícula - Ensino fundamental - 2009 (1);943;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2009 (1);99;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2009 (1);795;Matrículas
Matrícula - Ensino fundamental - escola privada - 2009 (1);49;Matrículas
Matrícula - Ensino médio - 2009 (1);137;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2009 (1);137;Matrículas
Matrícula - Ensino médio - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2009 (1);0;Matrículas
Matrícula - Ensino médio - escola privada - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - 2009 (1);90;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2009 (1);63;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2009 (1);27;Matrículas
Docentes - Ensino fundamental - 2009 (1);58;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2009 (1);8;Docentes
Docentes - Ensino fundamental - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2009 (1);43;Docentes
Docentes - Ensino fundamental - escola privada - 2009 (1);7;Docentes
Docentes - Ensino médio - 2009 (1);12;Docentes
Docentes - Ensino médio - escola pública estadual - 2009 (1);12;Docentes
Docentes - Ensino médio - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino médio - escola pública municipal - 2009 (1);0;Docentes
Docentes - Ensino médio - escola privada - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - 2009 (1);7;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2009 (1);3;Docentes
Docentes - Ensino pré-escolar - escola privada - 2009 (1);4;Docentes
Escolas - Ensino fundamental - 2009 (1);17;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2009 (1);1;Escolas
Escolas - Ensino fundamental - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2009 (1);14;Escolas
Escolas - Ensino fundamental - escola privada - 2009 (1);2;Escolas
Escolas - Ensino médio - 2009 (1);1;Escolas
Escolas - Ensino médio - escola pública estadual - 2009 (1);1;Escolas
Escolas - Ensino médio - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino médio - escola pública municipal - 2009 (1);0;Escolas
Escolas - Ensino médio - escola privada - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - 2009 (1);15;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2009 (1);13;Escolas
Escolas - Ensino pré-escolar - escola privada - 2009 (1);2;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2009. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

