cidade,ano,docfund,docmedio,docpre,escfund,escmedio,escpre,matrifund,matrimedio,matripre
Cachoeira dos Índios,2015,50,0,9,4,0,4,1005,0,189
Cacimba de Areia,2015,41,0,9,5,0,5,466,0,120
Cacimba de Dentro,2015,112,0,20,20,0,13,2174,0,363
Cacimbas,2015,96,0,14,12,0,11,1611,0,277
Caiçara,2015,54,0,13,12,0,11,802,0,213
Cajazeiras,2015,201,0,40,24,0,26,3979,0,802
Cajazeirinhas,2015,39,0,6,9,0,5,536,0,89
Caldas Brandão,2015,41,0,8,5,0,5,561,0,93
Camalaú,2015,48,0,10,10,0,9,1002,0,237
Campina Grande,2015,760,0,190,117,0,122,1909,0,4222
Capim,2015,50,0,6,5,0,2,1304,0,185
Caraúbas,2015,40,0,3,8,0,8,592,0,89
Carrapateira,2015,34,0,6,6,0,5,404,0,79
Casserengue,2015,68,0,9,8,0,6,1273,0,194
Catingueira,2015,40,0,12,3,0,3,668,0,128
Catolé do Rocha,2015,116,0,27,17,0,19,229,0,507
Caturité,2015,47,0,9,7,0,5,614,0,100
Conceição,2015,120,0,22,38,0,37,155,0,395
Condado,2015,52,0,6,10,0,10,769,0,170
Conde,2015,187,0,45,24,0,31,3887,0,759
Congo,2015,45,0,11,8,0,8,683,0,114
Coremas,2015,81,0,6,18,0,17,1236,0,192
Coxixola,2015,13,0,3,7,0,6,135,0,47
Cruz do Espírito Santo,2015,105,0,17,17,0,17,2046,0,276
Cubati,2015,68,0,8,16,0,14,1334,0,208
Cuité,2015,78,0,20,21,0,18,1526,0,346
Cuitegi,2015,55,0,12,11,0,8,885,0,218
Cuité de Mamanguape,2015,60,0,9,13,0,12,1127,0,192
Curral de Cima,2015,58,0,3,14,0,14,959,0,155
Curral Velho,2015,24,0,3,5,0,3,265,0,39
Damião,2015,46,0,8,7,0,7,867,0,159
Desterro,2015,37,0,6,8,0,8,741,0,209
Vista Serrana,2015,26,0,4,6,0,5,434,0,105
Diamante,2015,47,0,8,13,0,13,640,0,158
Dona Inês,2015,62,0,15,19,0,13,1636,0,272
Duas Estradas,2015,35,0,5,6,0,5,548,0,96
Emas,2015,25,0,7,3,0,3,471,0,62
Esperança,2015,170,0,36,26,0,23,3621,0,694
Fagundes,2015,146,0,31,33,0,31,1417,0,289
Frei Martinho,2015,18,0,6,3,0,3,354,0,80
Gado Bravo,2015,100,0,10,35,0,35,1309,0,267
Guarabira,2015,214,6,49,28,1,26,3759,39,743
Gurinhém,2015,118,0,14,21,0,20,1678,0,265
Gurjão,2015,31,0,5,5,0,4,431,0,84
Ibiara,2015,26,0,6,5,0,6,417,0,130
Imaculada,2015,96,0,11,16,0,14,1511,0,288
Ingá,2015,158,0,13,26,0,23,1974,0,244
Itabaiana,2015,88,16,30,17,1,17,103,89,342
Itaporanga,2015,69,0,25,10,0,12,1075,0,281
Itapororoca,2015,120,0,20,14,0,12,1875,0,297
Itatuba,2015,72,0,15,15,0,15,107,0,346
Jacaraú,2015,98,0,29,22,0,20,2234,0,347
Jericó,2015,44,0,11,12,0,14,641,0,154
João Pessoa,2015,2018,0,360,92,0,107,3821,0,5027
Juarez Távora,2015,80,0,14,12,0,10,1296,0,218
Juazeirinho,2015,125,0,41,18,0,17,2315,0,473
Junco do Seridó,2015,49,14,9,3,1,3,671,82,142
Juripiranga,2015,73,0,17,7,0,3,1242,0,175
