Marcação;Código: 2509057

Ensino - Matrículas, Docentes e Rede Escolar 2015
Matrícula - Ensino fundamental - 2015 (1);1.678;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2015 (1);638;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2015 (1);Não existente;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2015 (1);1.022;Matrículas
Matrícula - Ensino fundamental - escola privada - 2015 (1);18;Matrículas
Matrícula - Ensino médio - 2015 (1);305;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2015 (1);305;Matrículas
Matrícula - Ensino médio - escola pública federal - 2015 (1);Não existente;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2015 (1);0;Matrículas
Matrícula - Ensino médio - escola privada - 2015 (1);0;Matrículas
Matrícula - Ensino pré-escolar - 2015 (1);404;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2015 (1);81;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2015 (1);Não existente;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2015 (1);295;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2015 (1);28;Matrículas
Docentes - Ensino fundamental - 2015 (1);119;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2015 (1);51;Docentes
Docentes - Ensino fundamental - escola pública federal - 2015 (1);Não existente;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2015 (1);66;Docentes
Docentes - Ensino fundamental - escola privada - 2015 (1);2;Docentes
Docentes - Ensino médio - 2015 (1);34;Docentes
Docentes - Ensino médio - escola pública estadual - 2015 (1);34;Docentes
Docentes - Ensino médio - escola pública federal - 2015 (1);Não existente;Docentes
Docentes - Ensino médio - escola pública municipal - 2015 (1);0;Docentes
Docentes - Ensino médio - escola privada - 2015 (1);0;Docentes
Docentes - Ensino pré-escolar - 2015 (1);34;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2015 (1);10;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2015 (1);Não existente;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2015 (1);22;Docentes
Docentes - Ensino pré-escolar - escola privada - 2015 (1);2;Docentes
Escolas - Ensino fundamental - 2015 (1);16;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2015 (1);5;Escolas
Escolas - Ensino fundamental - escola pública federal - 2015 (1);Não existente;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2015 (1);10;Escolas
Escolas - Ensino fundamental - escola privada - 2015 (1);1;Escolas
Escolas - Ensino médio - 2015 (1);4;Escolas
Escolas - Ensino médio - escola pública estadual - 2015 (1);4;Escolas
Escolas - Ensino médio - escola pública federal - 2015 (1);Não existente;Escolas
Escolas - Ensino médio - escola pública municipal - 2015 (1);0;Escolas
Escolas - Ensino médio - escola privada - 2015 (1);0;Escolas
Escolas - Ensino pré-escolar - 2015 (1);14;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2015 (1);4;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2015 (1);Não existente;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2015 (1);9;Escolas
Escolas - Ensino pré-escolar - escola privada - 2015 (1);1;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2015. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

