Município,2005,2007,2009,2011,2013,2015,P-2007,P-2009,P-2011,P-2013,P-2015,P-2017,P-2019,P-2021
Água Branca,,2.9,4.0,4.1,3.9,4.7,,3.0,3.2,3.6,3.9,4.2,4.4,4.7
Aguiar,,,3.4,3.5,3.0,3.7,,,3.6,3.9,4.2,4.5,4.7,5.0
Alagoa Grande,2.3,2.8,2.3,3.2,2.8,3.6,2.4,2.5,2.8,3.2,3.6,3.8,4.1,4.4
Alagoa Nova,2.4,2.8,3.0,2.8,3.0,3.0,2.4,2.7,3.0,3.5,3.9,4.1,4.4,4.7
Alagoinha,,3.4,3.0,3.5,3.2,3.7,,3.5,3.7,4.0,4.4,4.6,4.9,5.2
Alcantil,2.9,3.4,3.8,3.7,4.5,4.2,2.9,3.0,3.3,3.7,4.1,4.4,4.6,4.9
Algodão de Jandaíra,2.3,2.7,2.5,3.1,2.9,3.1,2.4,2.6,2.9,3.3,3.7,4.0,4.3,4.5
Alhandra,2.9,2.6,2.7,2.9,2.9,3.6,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
Amparo,2.8,2.9,3.1,3.6,3.8,3.4,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
Aparecida,,3.0,3.9,4.1,3.7,4.3,,3.1,3.3,3.6,4.0,4.2,4.5,4.8
Araçagi,2.1,3.0,2.4,2.9,2.7,3.1,2.1,2.3,2.6,3.0,3.4,3.7,4.0,4.2
Arara,2.1,2.3,2.7,,2.7,3.3,2.2,2.4,2.7,3.2,3.6,3.9,4.1,4.4
Araruna,2.6,2.4,3.1,2.9,3.4,3.5,2.6,2.8,3.1,3.4,3.8,4.1,4.4,4.6
Areia de Baraúnas,2.5,2.3,2.6,2.8,3.0,3.6,2.6,2.7,3.0,3.3,3.7,4.0,4.3,4.5
Areial,3.1,2.7,3.6,3.4,3.6,4.1,3.1,3.3,3.5,3.9,4.3,4.6,4.9,5.1
Aroeiras,3.1,2.8,2.9,2.9,2.7,2.7,3.1,3.3,3.6,4.0,4.4,4.6,4.9,5.1
Assunção,,2.7,,3.3,3.0,3.3,,2.9,3.2,3.6,4.0,4.3,4.5,4.8
Baía da Traição,3.0,2.4,2.4,3.6,3.2,4.0,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
Bananeiras,,2.6,3.3,3.6,3.2,3.1,,2.7,2.9,3.2,3.5,3.8,4.1,4.3
