Município,2005,2007,2009,2011,2013,2015,P-2007,P-2009,P-2011,P-2013,P-2015,P-2017,P-2019,P-2021
Água Branca,3.6,3.6,4.1,4.5,4.6,6.0,3.7,4.0,4.4,4.7,5.0,5.3,5.5,5.8
Aguiar,,,3.5,3.8,3.9,4.6,,,3.8,4.1,4.3,4.6,4.9,5.2
Alagoa Grande,2.6,2.7,2.8,3.3,3.7,4.1,2.7,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Alagoa Nova,2.2,3.0,3.5,3.3,3.9,4.2,2.3,2.7,3.2,3.4,3.7,4.0,4.3,4.7
Alagoinha,2.2,2.2,3.2,3.6,4.0,4.2,2.3,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Alcantil,2.8,3.6,3.6,3.9,3.8,4.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Algodão de Jandaíra,,2.8,3.4,3.6,3.9,4.0,,3.1,3.4,3.7,4.0,4.3,4.6,4.9
Alhandra,2.8,3.2,3.1,3.1,3.1,4.0,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Amparo,,,,4.1,3.8,5.3,,,,4.4,4.7,5.0,5.2,5.5
Aparecida,3.1,3.9,3.3,3.9,4.6,4.5,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
Araçagi,2.0,3.1,3.4,2.9,3.6,4.0,2.2,2.8,3.3,3.6,3.9,4.2,4.5,4.8
Arara,2.1,3.1,4.0,3.8,3.9,4.8,2.2,2.7,3.2,3.4,3.7,4.0,4.3,4.7
Araruna,2.6,2.6,3.2,3.5,3.9,4.3,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Areia,2.7,2.8,2.6,3.1,2.9,**,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Areial,2.8,3.3,4.5,4.8,5.0,5.1,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Aroeiras,2.5,2.9,3.1,3.7,3.4,3.9,2.6,2.9,3.4,3.6,3.9,4.2,4.5,4.9
Assunção,2.1,4.0,3.4,3.9,4.8,4.6,2.2,2.5,2.9,3.2,3.4,3.7,4.1,4.4
Baía da Traição,3.0,3.4,3.5,4.6,4.3,4.5,3.0,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Bananeiras,2.4,2.4,3.7,4.1,4.4,4.9,2.5,2.9,3.4,3.7,4.0,4.3,4.6,4.9
