Aroeiras;Código: 2501302

Ensino - Matrículas, Docentes e Rede Escolar 2015
Matrícula - Ensino fundamental - 2015 (1);3.423;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2015 (1);525;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2015 (1);N&atilde;o existente;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2015 (1);2.598;Matrículas
Matrícula - Ensino fundamental - escola privada - 2015 (1);300;Matrículas
Matrícula - Ensino médio - 2015 (1);609;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2015 (1);580;Matrículas
Matrícula - Ensino médio - escola pública federal - 2015 (1);N&atilde;o existente;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2015 (1);0;Matrículas
Matrícula - Ensino médio - escola privada - 2015 (1);29;Matrículas
Matrícula - Ensino pré-escolar - 2015 (1);573;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2015 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2015 (1);N&atilde;o existente;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2015 (1);469;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2015 (1);104;Matrículas
Docentes - Ensino fundamental - 2015 (1);263;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2015 (1);38;Docentes
Docentes - Ensino fundamental - escola pública federal - 2015 (1);N&atilde;o existente;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2015 (1);190;Docentes
Docentes - Ensino fundamental - escola privada - 2015 (1);35;Docentes
Docentes - Ensino médio - 2015 (1);50;Docentes
Docentes - Ensino médio - escola pública estadual - 2015 (1);38;Docentes
Docentes - Ensino médio - escola pública federal - 2015 (1);N&atilde;o existente;Docentes
Docentes - Ensino médio - escola pública municipal - 2015 (1);0;Docentes
Docentes - Ensino médio - escola privada - 2015 (1);12;Docentes
Docentes - Ensino pré-escolar - 2015 (1);38;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2015 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2015 (1);N&atilde;o existente;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2015 (1);31;Docentes
Docentes - Ensino pré-escolar - escola privada - 2015 (1);7;Docentes
Escolas - Ensino fundamental - 2015 (1);48;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2015 (1);2;Escolas
Escolas - Ensino fundamental - escola pública federal - 2015 (1);N&atilde;o existente;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2015 (1);42;Escolas
Escolas - Ensino fundamental - escola privada - 2015 (1);4;Escolas
Escolas - Ensino médio - 2015 (1);2;Escolas
Escolas - Ensino médio - escola pública estadual - 2015 (1);1;Escolas
Escolas - Ensino médio - escola pública federal - 2015 (1);N&atilde;o existente;Escolas
Escolas - Ensino médio - escola pública municipal - 2015 (1);0;Escolas
Escolas - Ensino médio - escola privada - 2015 (1);1;Escolas
Escolas - Ensino pré-escolar - 2015 (1);44;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2015 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2015 (1);N&atilde;o existente;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2015 (1);41;Escolas
Escolas - Ensino pré-escolar - escola privada - 2015 (1);3;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2015. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

