cd_IBGE,cd_Municipio,de_Municipio,vl_Populacao,vl_IDHM,vl_IDHM_Renda,vl_IDHM_Longevidade,vl_IDHM_Educacao,vl_IDEB_Anos_Finais,vl_Aprendizado_Anos_Finais,pr_Fluxo_Anos_Finais,vl_IDEB_Anos_Iniciais,vl_Aprendizado_Anos_Iniciais,pr_Fluxo_Anos_Iniciais,vl_Docentes_Fundamental,vl_Docentes_Medio,vl_Docentes_Pre_Escolar,vl_Escolas_Fundamental,vl_Escolas_Medio,vl_Escolas_Pre_Escolar,vl_Matriculas_Fundamental,vl_Matriculas_Medio,vl_Matriculas_Pre_Escolar
2513604,174,Santana dos Garrotes,7067,0.594,0.568,0.772,0.479,2.7,3.64,0.74,4,4.79,0.83,51,7,18,6,1,7,683,12,163
2513653,175,Joca Claudino,2685,0.622,0.553,0.765,0.568,3.3,3.89,0.85,4.8,4.99,0.96,29,0,5,6,0,6,380,0,80
2513703,171,Santa Rita,135917,0.627,0.597,0.774,0.534,2.9,4.15,0.69,3.7,4.5,0.82,464,0,75,46,0,47,9964,0,1343
2513802,172,Santa Teresinha,4582,0.627,0.586,0.82,0.513,4.2,4.68,0.9,4.4,4.77,0.92,42,0,2,11,0,11,540,0,102
2513851,176,Santo André,2529,0.6,0.568,0.797,0.476,4.2,5.12,0.82,4.8,5.29,0.92,23,0,4,1,0,1,371,0,78
2513901,178,São Bento,33847,0.58,0.597,0.769,0.424,4.1,5.23,0.78,4.7,5.71,0.82,144,0,27,19,0,18,3476,0,556
2513927,177,São Bentinho,4497,0.606,0.575,0.787,0.491,4.2,5.25,0.79,4.6,5.14,0.9,33,0,7,5,0,3,477,0,126
2513943,180,São Domingos do Cariri,2582,0.589,0.603,0.773,0.438,4.5,5.04,0.89,0,0,0.85,31,10,4,5,1,5,326,47,80
2513968,179,São Domingos,3091,0.548,0.555,0.754,0.394,4,4.9,0.83,4.9,5.44,0.9,25,0,3,5,0,6,443,0,74
2513984,181,São Francisco,3369,0.58,0.56,0.726,0.481,4.3,4.67,0.92,5.8,6.19,0.94,27,0,4,2,0,3,484,0,67
2514008,182,São João do Cariri,4309,0.622,0.618,0.797,0.488,0,0,0.76,5.1,5.29,0.96,38,0,5,8,0,6,436,0,89
2514107,184,São João do Tigre,4427,0.552,0.523,0.758,0.424,0,0,0.88,4.8,5.45,0.88,54,0,6,7,0,6,775,0,122
2514206,185,São José da Lagoa Tapada,7678,0.53,0.53,0.722,0.389,3.8,4.52,0.84,4,5.17,0.78,53,0,6,10,0,9,932,0,168
2514305,186,São José de Caiana,6256,0.565,0.545,0.762,0.434,3.3,4.17,0.79,3.6,4.57,0.78,46,0,19,16,0,15,721,0,250
2514404,187,São José de Espinharas,4659,0.577,0.543,0.79,0.448,0,0,0.8,4,4.68,0.86,41,0,7,6,0,6,452,0,87
2514453,194,São José dos Ramos,5920,0.541,0.527,0.738,0.406,3.1,4.35,0.71,4,4.46,0.89,52,0,7,7,0,6,741,0,161
2514503,188,São José de Piranhas,20062,0.591,0.594,0.755,0.461,3.9,4.91,0.79,4.7,5.21,0.91,109,0,14,31,0,31,1609,0,342
2514552,189,São José de Princesa,3897,0.565,0.533,0.765,0.443,0,0,0,0,0,0,22,0,7,5,0,5,284,0,93
2514602,190,São José do Bonfim,3530,0.578,0.549,0.713,0.493,3.1,4.29,0.73,3.9,4.36,0.89,36,0,3,9,0,8,562,0,85
2514651,191,São José do Brejo do Cruz,1793,0.581,0.535,0.776,0.473,4.1,5.44,0.76,4.6,5.19,0.89,20,0,4,4,0,4,304,0,74
2514701,192,São José do Sabugi,4135,0.617,0.584,0.781,0.514,4.5,5.02,0.89,5.3,5.51,0.96,33,0,8,5,0,4,450,0,100
2514800,193,São José dos Cordeiros,3720,0.556,0.542,0.778,0.407,3.1,4.54,0.69,4.8,5.41,0.88,20,0,4,13,0,13,229,0,84
2514909,195,São Mamede,7738,0.641,0.617,0.765,0.558,3.9,5.15,0.77,5.1,5.49,0.93,62,0,10,12,0,10,1044,0,207
2515005,196,São Miguel de Taipu,7131,0.548,0.516,0.721,0.443,3.1,4.01,0.77,3.5,3.8,0.91,61,0,10,12,0,12,838,0,232
2515104,197,São Sebastião de Lagoa de Roça,11762,0.594,0.561,0.795,0.471,3.5,4.89,0.72,5.2,5.81,0.9,76,0,18,18,0,17,1275,0,340
2515203,198,São Sebastião do Umbuzeiro,3469,0.581,0.561,0.763,0.459,3.9,4.95,0.78,4.9,5.19,0.94,27,0,4,1,0,1,470,0,83
2515302,200,Sapé,52463,0.569,0.563,0.711,0.461,3.3,4.2,0.79,4.3,4.74,0.9,200,0,46,38,0,35,3985,0,828
2515401,199,São Vicente do Seridó,10994,0.555,0.528,0.714,0.453,3.4,4.21,0.82,4.4,4.87,0.9,77,0,17,18,0,14,1137,0,352
2515500,201,Serra Branca,13637,0.628,0.598,0.77,0.537,3.3,4.27,0.76,5,5.13,0.98,75,0,16,9,0,10,1134,0,225
2515609,202,Serra da Raiz,3137,0.626,0.57,0.792,0.544,0,0,0.89,4.2,4.56,0.91,23,0,4,7,0,6,272,0,87
2515708,203,Serra Grande,3089,0.586,0.549,0.745,0.491,4.5,5,0.91,5.4,5.75,0.94,26,0,10,8,0,7,492,0,110
2515807,204,Serra Redonda,7036,0.57,0.565,0.772,0.424,2.8,4.35,0.65,4.3,4.96,0.87,57,0,6,15,0,13,780,0,110
2515906,205,Serraria,6123,0.547,0.536,0.779,0.392,3,4.09,0.74,3.8,4.78,0.8,39,0,9,12,0,12,484,0,124
2515930,206,Sertãozinho,4969,0.621,0.554,0.769,0.561,3.8,4.49,0.84,4.7,4.91,0.96,41,0,5,9,0,7,619,0,119
2515971,207,Sobrado,7754,0.573,0.525,0.753,0.477,2.9,4.29,0.67,4.5,5.35,0.85,60,0,10,14,0,13,1188,0,183
2516003,208,Solânea,26551,0.595,0.592,0.762,0.468,3.3,4.43,0.75,4,4.7,0.86,136,0,32,20,0,19,2564,0,501
2516102,209,Soledade,14853,0.616,0.598,0.772,0.506,3.2,4.69,0.68,4.3,5.03,0.86,96,0,11,16,0,15,1429,0,287
2516151,210,Sossêgo,3522,0.573,0.531,0.769,0.46,3.4,5.12,0.66,4.8,5.25,0.91,29,0,7,5,0,4,423,0,100
2516201,211,Sousa,69196,0.668,0.645,0.814,0.567,3.7,4.75,0.78,4.9,5.38,0.91,217,0,67,31,0,31,3661,0,1276
2516300,212,Sumé,16872,0.627,0.602,0.765,0.534,3.6,4.44,0.81,4.9,5.24,0.94,110,0,14,12,0,9,1844,0,270
2516409,051,Tacima,10896,0.551,0.513,0.726,0.45,3.8,4.35,0.87,4.5,4.83,0.92,79,0,17,10,0,11,1039,0,200
2516508,213,Taperoá,15193,0.578,0.564,0.749,0.456,3.3,4.87,0.68,4.6,5.48,0.84,72,0,13,17,0,13,1058,0,248
2516607,214,Tavares,14615,0.586,0.56,0.777,0.462,3.6,4.38,0.82,5,5.4,0.92,116,0,19,10,0,10,1739,0,404
2516706,215,Teixeira,15085,0.605,0.566,0.741,0.527,3.2,4.36,0.74,4.1,4.76,0.85,79,0,20,19,0,18,1596,0,331
2516755,216,Tenório,3039,0.581,0.565,0.707,0.49,2.7,4.73,0.58,4,4.63,0.87,35,0,6,4,0,3,521,0,89
2516805,217,Triunfo,9465,0.609,0.578,0.78,0.501,3.5,4.15,0.84,4.2,4.56,0.92,70,0,7,16,0,16,844,0,161
2516904,218,Uiraúna,15307,0.636,0.612,0.797,0.528,3.3,4.07,0.8,4.1,4.72,0.87,63,0,11,14,0,16,803,0,205
2517001,219,Umbuzeiro,9901,0.584,0.545,0.712,0.514,3.7,4.09,0.92,4.8,5.07,0.95,72,0,12,19,0,19,1128,0,193
2517100,220,Várzea,2784,0.707,0.619,0.8,0.714,5.3,5.68,0.93,6.1,6.48,0.94,21,0,4,4,0,4,349,0,57
2517209,221,Vieirópolis,5327,0.571,0.537,0.762,0.455,0,0,0,0,0,0,33,0,9,4,0,4,455,0,108
2517407,223,Zabelê,2227,0.623,0.567,0.725,0.587,3.6,4.18,0.86,4.6,4.67,0.98,18,0,4,1,0,1,377,0,84
