cd_IBGE,cd_Municipio,de_Municipio,vl_Populacao,vl_IDHM,vl_IDHM_Renda,vl_IDHM_Longevidade,vl_IDHM_Educacao,vl_IDEB_Anos_Finais,vl_Aprendizado_Anos_Finais,pr_Fluxo_Anos_Finais,vl_IDEB_Anos_Iniciais,vl_Aprendizado_Anos_Iniciais,pr_Fluxo_Anos_Iniciais,vl_Docentes_Fundamental,vl_Docentes_Medio,vl_Docentes_Pre_Escolar,vl_Escolas_Fundamental,vl_Escolas_Medio,vl_Escolas_Pre_Escolar,vl_Matriculas_Fundamental,vl_Matriculas_Medio,vl_Matriculas_Pre_Escolar
2508406,104,Lastro,2745,0.533,0.532,0.747,0.38,3.4,4.72,0.72,4.6,5.47,0.84,37,0,5,8,0,8,510,0,87
2508505,105,Livramento,7371,0.566,0.523,0.732,0.473,3.8,4.98,0.75,5,5.45,0.92,77,0,25,20,0,20,1187,0,242
2508554,106,Logradouro,4299,0.583,0.544,0.776,0.47,4.4,5.65,0.77,5.5,6.09,0.9,36,0,7,3,0,3,509,0,114
2508604,107,Lucena,12965,0.583,0.577,0.734,0.469,3.1,4.29,0.71,4,4.75,0.84,93,0,18,10,0,10,1895,0,328
2508703,108,Mãe d'Água,4017,0.542,0.52,0.712,0.429,4.1,4.99,0.81,5.3,5.77,0.92,37,0,6,8,0,6,563,0,108
2508802,109,Malta,5668,0.642,0.62,0.8,0.533,3.7,4.77,0.77,4.6,4.89,0.95,35,0,9,5,0,6,638,0,131
2508901,110,Mamanguape,44694,0.585,0.585,0.756,0.453,3.2,4.22,0.76,3.8,4.43,0.87,175,0,33,37,0,33,4153,0,844
2509008,111,Manaíra,11094,0.543,0.537,0.698,0.426,0,0,0.79,0,0,0.93,72,0,11,27,0,27,1289,0,314
2509057,112,Marcação,8475,0.529,0.525,0.691,0.408,0,0,0.71,3.2,4.4,0.74,66,0,22,10,0,9,1022,0,295
2509107,113,Mari,21806,0.548,0.553,0.692,0.429,3.4,4.55,0.74,3.8,4.61,0.83,104,0,21,21,0,21,1768,0,382
2509156,114,Marizópolis,6569,0.608,0.582,0.753,0.512,3.3,4.08,0.81,4.3,4.94,0.87,53,0,8,4,0,5,821,0,153
2509206,115,Massaranduba,13755,0.567,0.552,0.747,0.441,3.6,4.12,0.86,4.4,5.12,0.86,104,0,14,27,0,25,1679,0,414
2509305,116,Mataraca,8345,0.536,0.533,0.675,0.427,3.3,4.42,0.76,0,0,0.85,62,0,17,4,0,3,1198,0,293
2509339,117,Matinhas,4517,0.541,0.531,0.747,0.4,3.1,4.26,0.73,3.8,4.48,0.84,46,0,9,13,0,12,548,0,163
2509370,118,Mato Grosso,2892,0.565,0.566,0.76,0.419,0,0,0,0,0,0,23,0,2,8,0,7,287,0,53
2509396,119,Maturéia,6516,0.572,0.54,0.73,0.474,3.4,4.51,0.75,4.4,5.22,0.85,52,0,15,5,0,4,1178,0,253
