cd_UGestora,dt_AnoEmpenho,nu_Licitacao,nu_Empenho,cd_UnidOrcamentaria,tp_Licitacao,vl_Empenho,cd_Funcao,cd_Subfuncao,cd_SubElemento,dt_MesAnoEmpenho,dt_Empenho
201003,2016,000132016,0002676,02060,11,3000,12,361,61,042016,2016-04-28T00:00:00Z
201003,2016,000132016,0003324,02060,11,2340,12,361,61,052016,2016-05-17T00:00:00Z
201003,2016,000182016,0004153,02060,11,3510,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0004154,02060,11,4560,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0004156,02060,11,2970,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0004157,02060,11,3348,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0004159,02060,11,3294,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0004160,02060,11,2160,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000132016,0004161,02060,11,3432,12,361,61,062016,2016-06-16T00:00:00Z
201003,2016,000182016,0005081,02060,11,2480,12,361,61,072016,2016-07-20T00:00:00Z
201003,2016,000182016,0005090,02060,11,2600,12,361,61,072016,2016-07-22T00:00:00Z
201003,2016,000182016,0005093,02060,11,2440,12,361,61,072016,2016-07-22T00:00:00Z
201003,2016,000132016,0005097,02060,11,3120,12,361,61,072016,2016-07-22T00:00:00Z
201003,2016,000182016,0005341,02060,11,2200,12,361,61,072016,2016-07-29T00:00:00Z
201003,2016,000182016,0005482,02060,11,3800,12,361,61,082016,2016-08-08T00:00:00Z
201003,2016,000182016,0005485,02060,11,1600,12,361,61,082016,2016-08-08T00:00:00Z
201003,2016,000182016,0005814,02060,11,2600,12,361,61,082016,2016-08-19T00:00:00Z
201003,2016,000182016,0005837,02060,11,1600,12,361,61,082016,2016-08-22T00:00:00Z
201003,2016,000182016,0005838,02060,11,2200,12,361,61,082016,2016-08-22T00:00:00Z
201003,2016,000182016,0005839,02060,11,2440,12,361,61,082016,2016-08-22T00:00:00Z
201003,2016,000132016,0005956,02060,11,3120,12,361,61,082016,2016-08-29T00:00:00Z
201003,2016,000182016,0005961,02060,11,2480,12,361,61,082016,2016-08-29T00:00:00Z
201003,2016,000182016,0006676,02060,11,1240,12,361,61,092016,2016-09-26T00:00:00Z
201003,2016,000182016,0006685,02060,11,800,12,361,61,092016,2016-09-26T00:00:00Z
201003,2016,000182016,0006691,02060,11,2600,12,361,61,092016,2016-09-26T00:00:00Z
201003,2016,000132016,0006796,02060,11,1560,12,361,61,092016,2016-09-27T00:00:00Z
201003,2016,000182016,0006877,02060,11,3230,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000132016,0006909,02060,11,468,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000182016,0006910,02060,11,1100,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000182016,0006916,02060,11,1220,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000132016,0006937,02060,11,1092,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000182016,0006940,02060,11,1240,12,361,61,092016,2016-09-30T00:00:00Z
201003,2016,000182016,0006965,02060,11,1100,12,361,61,102016,2016-10-03T00:00:00Z
201003,2016,000182016,0006994,02060,11,2600,12,361,61,102016,2016-10-04T00:00:00Z
201003,2016,000182016,0007120,02060,11,800,12,361,61,102016,2016-10-11T00:00:00Z
201003,2016,000182016,0007732,02060,11,1240,12,361,61,102016,2016-10-31T00:00:00Z
201003,2016,000182016,0007733,02060,11,1220,12,361,61,102016,2016-10-31T00:00:00Z
201003,2016,000182016,0007737,02060,11,1100,12,361,61,102016,2016-10-31T00:00:00Z
201003,2016,000132016,0007825,02060,11,1560,12,361,61,112016,2016-11-01T00:00:00Z
201003,2016,000182016,0008096,02060,11,1240,12,361,61,112016,2016-11-10T00:00:00Z
201003,2016,000182016,0008141,02060,11,1100,12,361,61,112016,2016-11-10T00:00:00Z
201003,2016,000182016,0008180,02060,11,1220,12,361,61,112016,2016-11-14T00:00:00Z
201003,2016,000182016,0008185,02060,11,800,12,361,61,112016,2016-11-14T00:00:00Z
201003,2016,000132016,0008188,02060,11,1560,12,361,61,112016,2016-11-14T00:00:00Z
201003,2016,000132016,0008282,02060,11,2520,12,361,61,112016,2016-11-17T00:00:00Z
201003,2016,000182016,0008441,02060,11,3230,12,361,61,112016,2016-11-22T00:00:00Z
201003,2016,000182016,0008645,02060,11,4370,12,361,61,112016,2016-11-30T00:00:00Z
201003,2016,000182016,0008883,02060,11,1430,12,361,61,122016,2016-12-01T00:00:00Z
201003,2016,000182016,0008890,02060,11,1040,12,361,61,122016,2016-12-01T00:00:00Z
201003,2016,000182016,0008894,02060,11,1612,12,361,61,122016,2016-12-01T00:00:00Z
201003,2016,000132016,0008903,02060,11,2028,12,361,61,122016,2016-12-01T00:00:00Z
201003,2016,000182016,0009227,02060,11,2440,12,361,61,122016,2016-12-20T00:00:00Z
201003,2016,000132016,0009241,02060,11,1248,12,361,61,122016,2016-12-20T00:00:00Z
201003,2016,000182016,0009493,02060,11,2600,12,361,61,122016,2016-12-29T00:00:00Z
201005,2016,000122016,0001394,00205,11,1919.99,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001395,00205,11,1710,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001396,00205,11,2129.94,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001397,00205,11,779.94,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001398,00205,11,749.99,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001399,00205,11,2219.99,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001400,00205,11,1409.94,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001401,00205,11,749.99,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001402,00205,11,1980,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001403,00205,11,900,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001411,00205,11,2399.94,12,361,95,052016,2016-05-16T00:00:00Z
201005,2016,000122016,0001420,00205,11,569.99,12,361,95,052016,2016-05-18T00:00:00Z
201005,2016,000122016,0001539,00205,11,4000,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001540,00205,11,3700,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001541,00205,11,1250,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001542,00205,11,1300,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001543,00205,11,3550,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001544,00205,11,2850,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001545,00205,11,3200,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001546,00205,11,2350,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001547,00205,11,1250,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001548,00205,11,3300,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001549,00205,11,1500,12,361,95,052016,2016-05-31T00:00:00Z
201005,2016,000122016,0001898,00205,11,1200,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001899,00205,11,1000,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001900,00205,11,2280,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001901,00205,11,2840,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001902,00205,11,1040,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001903,00205,11,2960,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001904,00205,11,1000,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001905,00205,11,1880,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001906,00205,11,2640,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001907,00205,11,3200,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0001908,00205,11,2560,12,361,95,062016,2016-06-30T00:00:00Z
201005,2016,000122016,0002172,00205,11,2500,12,361,95,072016,2016-07-15T00:00:00Z
201005,2016,000122016,0002358,00205,11,1500,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002359,00205,11,2350,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002360,00205,11,4000,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002361,00205,11,3300,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002362,00205,11,1250,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002363,00205,11,3200,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002364,00205,11,2850,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002365,00205,11,3550,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002366,00205,11,1300,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002367,00205,11,1250,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002368,00205,11,3700,12,361,95,082016,2016-08-01T00:00:00Z
201005,2016,000122016,0002377,00205,11,950,12,361,95,082016,2016-08-02T00:00:00Z
201005,2016,000122016,0002641,00205,11,1500,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002642,00205,11,3300,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002643,00205,11,1250,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002644,00205,11,3550,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002647,00205,11,4000,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002648,00205,11,2850,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002650,00205,11,1250,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002651,00205,11,3700,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002652,00205,11,2350,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002653,00205,11,3200,12,361,95,082016,2016-08-29T00:00:00Z
201005,2016,000122016,0002685,00205,11,950,12,361,95,082016,2016-08-30T00:00:00Z
201005,2016,000162016,0002954,00205,11,1250,12,361,95,092016,2016-09-12T00:00:00Z
201005,2016,000162016,0002955,00205,11,1400,12,361,95,092016,2016-09-12T00:00:00Z
201005,2016,000122016,0003224,00205,11,3300,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003225,00205,11,3700,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003226,00205,11,1250,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000162016,0003227,00205,11,1250,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003228,00205,11,1300,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003229,00205,11,3550,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003230,00205,11,2850,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003231,00205,11,3200,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003232,00205,11,4000,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003233,00205,11,2350,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003234,00205,11,1250,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000162016,0003236,00205,11,1400,12,361,95,092016,2016-09-28T00:00:00Z
201005,2016,000122016,0003488,00205,11,950,12,361,95,102016,2016-10-13T00:00:00Z
201005,2016,000122016,0003702,00205,11,3300,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003703,00205,11,2850,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003704,00205,11,950,12,361,95,102016,2016-10-13T00:00:00Z
201005,2016,000162016,0003707,00205,11,1400,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003708,00205,11,1500,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003709,00205,11,2350,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003710,00205,11,1250,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000162016,0003711,00205,11,1250,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003712,00205,11,3700,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003713,00205,11,1250,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003714,00205,11,3200,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003715,00205,11,1300,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003716,00205,11,4000,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0003717,00205,11,3550,12,361,95,102016,2016-10-31T00:00:00Z
201005,2016,000122016,0004142,00205,11,1250,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004143,00205,11,2350,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000162016,0004146,00205,11,1400,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004147,00205,11,950,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004148,00205,11,1500,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004149,00205,11,3300,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004150,00205,11,3700,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000162016,0004151,00205,11,1250,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000162016,0004152,00205,11,1250,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004153,00205,11,1300,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004154,00205,11,2850,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004155,00205,11,3550,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004156,00205,11,4000,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004157,00205,11,3200,12,361,95,112016,2016-11-29T00:00:00Z
201005,2016,000122016,0004560,00205,11,1775,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004561,00205,11,625,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004563,00205,11,1175,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004564,00205,11,750,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004565,00205,11,1850,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004566,00205,11,1425,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004567,00205,11,2000,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004568,00205,11,1600,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004569,00205,11,625,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004570,00205,11,1650,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000162016,0004571,00205,11,700,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004572,00205,11,650,12,361,95,122016,2016-12-15T00:00:00Z
201005,2016,000122016,0004770,00205,11,950,12,361,95,122016,2016-12-22T00:00:00Z
201006,2016,000082016,0001134,20404,11,2976,12,361,38,052016,2016-05-03T00:00:00Z
201006,2016,000092016,0001237,20404,11,1044,12,361,38,052016,2016-05-11T00:00:00Z
201006,2016,000092016,0001240,20404,11,1140,12,361,38,052016,2016-05-11T00:00:00Z
201006,2016,000092016,0001241,20404,11,1520,12,361,38,052016,2016-05-11T00:00:00Z
201006,2016,000082016,0001329,20404,11,3400,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000082016,0001335,20404,11,2640,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001336,20404,11,2140,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001337,20404,11,3200,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001338,20404,11,2400,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001339,20404,11,2900,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001340,20404,11,1740,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000082016,0001343,20404,11,3100,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001344,20404,11,2020,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001345,20404,11,2020,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001346,20404,11,2020,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001347,20404,11,2400,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001349,20404,11,2300,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001351,20404,11,2875,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000092016,0001352,20404,11,2300,12,361,38,052016,2016-05-24T00:00:00Z
201006,2016,000082016,0001490,20404,11,1550,12,361,38,052016,2016-05-31T00:00:00Z
201006,2016,000092016,0001646,20404,11,2400,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001647,20404,11,3360,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001648,20404,11,2247,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001650,20404,11,2300,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001652,20404,11,2020,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001654,20404,11,2300,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001655,20404,11,2300,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000082016,0001667,20404,11,2480,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001668,20404,11,2900,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001669,20404,11,2020,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001670,20404,11,1740,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001671,20404,11,1840,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000082016,0001672,20404,11,3400,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001676,20404,11,2020,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001677,20404,11,1920,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000082016,0001688,20404,11,2640,12,361,38,062016,2016-06-20T00:00:00Z
201006,2016,000092016,0001911,20404,11,1495,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001912,20404,11,1313,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001913,20404,11,1495,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001914,20404,11,1495,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001915,20404,11,1414,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001916,20404,11,1248,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001917,20404,11,1391,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001918,20404,11,1131,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001920,20404,11,1313,12,361,38,072016,2016-07-12T00:00:00Z
201006,2016,000092016,0001921,20404,11,1196,12,361,38,072016,2016-07-12T00:00:00Z
