cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento
201003,2016,02060,0002676,0000001,1,1500,2016-05-04 00:00:00
201003,2016,02060,0002676,0000002,1,1500,2016-06-10 00:00:00
201003,2016,02060,0003324,0000001,1,2340,2016-05-20 00:00:00
201003,2016,02060,0004153,0000001,1,3510,2016-06-22 00:00:00
201003,2016,02060,0004154,0000001,1,4560,2016-06-17 00:00:00
201003,2016,02060,0004156,0000001,1,2970,2016-06-22 00:00:00
201003,2016,02060,0004157,0000001,1,3348,2016-06-22 00:00:00
201003,2016,02060,0004159,0000001,1,3294,2016-06-22 00:00:00
201003,2016,02060,0004160,0000001,1,2160,2016-06-22 00:00:00
201003,2016,02060,0004161,0000001,1,3432,2016-06-22 00:00:00
201003,2016,02060,0005081,0000001,1,2480,2016-07-28 00:00:00
201003,2016,02060,0005090,0000001,1,2600,2016-07-28 00:00:00
201003,2016,02060,0005093,0000001,1,2440,2016-12-26 00:00:00
201003,2016,02060,0005097,0000001,1,3120,2016-07-28 00:00:00
201003,2016,02060,0005341,0000001,1,1000,2016-08-08 00:00:00
201003,2016,02060,0005341,0000002,1,1200,2016-08-18 00:00:00
201003,2016,02060,0005485,0000001,1,1600,2016-12-23 00:00:00
201003,2016,02060,0005814,0000001,1,2600,2016-09-01 00:00:00
201003,2016,02060,0005837,0000001,1,1600,2016-09-01 00:00:00
201003,2016,02060,0005838,0000001,1,2200,2016-09-01 00:00:00
201003,2016,02060,0005956,0000001,1,3120,2016-09-01 00:00:00
201003,2016,02060,0005961,0000001,1,2480,2016-09-01 00:00:00
201003,2016,02060,0006676,0000001,1,1240,2016-09-29 00:00:00
201003,2016,02060,0006685,0000001,1,800,2016-09-29 00:00:00
201003,2016,02060,0006691,0000001,1,2600,2016-09-29 00:00:00
201003,2016,02060,0006796,0000001,1,1560,2016-10-05 00:00:00
201003,2016,02060,0006877,0000001,1,3230,2016-11-14 00:00:00
201003,2016,02060,0006909,0000001,1,468,2016-10-13 00:00:00
201003,2016,02060,0006910,0000001,1,1100,2016-10-13 00:00:00
201003,2016,02060,0006916,0000001,1,1220,2016-10-13 00:00:00
201003,2016,02060,0006937,0000001,1,1092,2016-10-13 00:00:00
201003,2016,02060,0006940,0000001,1,1240,2016-10-13 00:00:00
201003,2016,02060,0006965,0000001,1,700,2016-10-24 00:00:00
201003,2016,02060,0006965,0000002,1,400,2016-11-18 00:00:00
201003,2016,02060,0006994,0000001,1,2600,2016-10-28 00:00:00
201003,2016,02060,0007120,0000001,1,800,2016-11-10 00:00:00
201003,2016,02060,0007732,0000001,1,1240,2016-11-09 00:00:00
201003,2016,02060,0007733,0000001,1,1220,2016-11-09 00:00:00
201003,2016,02060,0007737,0000001,1,1100,2016-11-09 00:00:00
201003,2016,02060,0007825,0000001,1,1560,2016-11-10 00:00:00
201003,2016,02060,0008096,0000001,1,1240,2016-11-21 00:00:00
201003,2016,02060,0008141,0000001,1,1100,2016-11-21 00:00:00
201003,2016,02060,0008180,0000001,1,1220,2016-11-21 00:00:00
201003,2016,02060,0008185,0000001,1,800,2016-12-23 00:00:00
201003,2016,02060,0008188,0000001,1,1560,2016-11-23 00:00:00
201003,2016,02060,0008282,0000001,1,2520,2016-11-30 00:00:00
201003,2016,02060,0008441,0000001,1,3230,2016-11-25 00:00:00
201003,2016,02060,0008645,0000001,1,4370,2016-12-02 00:00:00
201003,2016,02060,0008883,0000001,1,1430,2016-12-14 00:00:00
201003,2016,02060,0008890,0000001,1,1040,2016-12-14 00:00:00
201003,2016,02060,0008894,0000001,1,1612,2016-12-23 00:00:00
201003,2016,02060,0008903,0000001,1,2028,2016-12-14 00:00:00
201003,2016,02060,0009227,0000001,1,2440,2016-12-26 00:00:00
201003,2016,02060,0009241,0000001,1,1248,2016-12-29 00:00:00
201003,2016,02060,0009493,0000001,1,2600,2016-12-30 00:00:00
201005,2016,00205,0001394,0000001,1,1919.99,2016-05-19 00:00:00
201005,2016,00205,0001395,0000001,1,1710,2016-05-17 00:00:00
201005,2016,00205,0001396,0000001,1,2129.94,2016-05-17 00:00:00
201005,2016,00205,0001397,0000001,1,779.94,2016-05-17 00:00:00
201005,2016,00205,0001398,0000001,1,749.99,2016-05-17 00:00:00
201005,2016,00205,0001399,0000001,1,2219.99,2016-05-17 00:00:00
201005,2016,00205,0001400,0000001,1,1409.94,2016-05-18 00:00:00
201005,2016,00205,0001401,0000001,1,749.99,2016-05-20 00:00:00
201005,2016,00205,0001402,0000001,1,1980,2016-05-17 00:00:00
201005,2016,00205,0001403,0000001,1,900,2016-05-19 00:00:00
201005,2016,00205,0001411,0000001,1,2399.94,2016-05-16 00:00:00
201005,2016,00205,0001420,0000001,1,569.99,2016-05-18 00:00:00
201005,2016,00205,0001539,0000001,1,4000,2016-06-01 00:00:00
201005,2016,00205,0001540,0000001,1,3700,2016-06-01 00:00:00
201005,2016,00205,0001541,0000001,1,1250,2016-06-01 00:00:00
201005,2016,00205,0001542,0000001,1,1300,2016-06-02 00:00:00
201005,2016,00205,0001543,0000001,1,3550,2016-06-02 00:00:00
