Sousa;Código: 2516201

Ensino - Matrículas, Docentes e Rede Escolar 2009
Matrícula - Ensino fundamental - 2009 (1);10.847;Matrículas
Matrícula - Ensino fundamental - escola pública estadual - 2009 (1);5.713;Matrículas
Matrícula - Ensino fundamental - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino fundamental - escola pública municipal - 2009 (1);3.404;Matrículas
Matrícula - Ensino fundamental - escola privada - 2009 (1);1.730;Matrículas
Matrícula - Ensino médio - 2009 (1);3.174;Matrículas
Matrícula - Ensino médio - escola pública estadual - 2009 (1);2.169;Matrículas
Matrícula - Ensino médio - escola pública federal - 2009 (1);246;Matrículas
Matrícula - Ensino médio - escola pública municipal - 2009 (1);266;Matrículas
Matrícula - Ensino médio - escola privada - 2009 (1);493;Matrículas
Matrícula - Ensino pré-escolar - 2009 (1);1.371;Matrículas
Matrícula - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública federal - 2009 (1);0;Matrículas
Matrícula - Ensino pré-escolar - escola pública municipal - 2009 (1);1.224;Matrículas
Matrícula - Ensino pré-escolar - escola privada - 2009 (1);147;Matrículas
Docentes - Ensino fundamental - 2009 (1);604;Docentes
Docentes - Ensino fundamental - escola pública estadual - 2009 (1);277;Docentes
Docentes - Ensino fundamental - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino fundamental - escola pública municipal - 2009 (1);234;Docentes
Docentes - Ensino fundamental - escola privada - 2009 (1);93;Docentes
Docentes - Ensino médio - 2009 (1);199;Docentes
Docentes - Ensino médio - escola pública estadual - 2009 (1);102;Docentes
Docentes - Ensino médio - escola pública federal - 2009 (1);29;Docentes
Docentes - Ensino médio - escola pública municipal - 2009 (1);28;Docentes
Docentes - Ensino médio - escola privada - 2009 (1);40;Docentes
Docentes - Ensino pré-escolar - 2009 (1);66;Docentes
Docentes - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública federal - 2009 (1);0;Docentes
Docentes - Ensino pré-escolar - escola pública municipal - 2009 (1);57;Docentes
Docentes - Ensino pré-escolar - escola privada - 2009 (1);9;Docentes
Escolas - Ensino fundamental - 2009 (1);59;Escolas
Escolas - Ensino fundamental - escola pública estadual - 2009 (1);18;Escolas
Escolas - Ensino fundamental - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino fundamental - escola pública municipal - 2009 (1);34;Escolas
Escolas - Ensino fundamental - escola privada - 2009 (1);7;Escolas
Escolas - Ensino médio - 2009 (1);13;Escolas
Escolas - Ensino médio - escola pública estadual - 2009 (1);6;Escolas
Escolas - Ensino médio - escola pública federal - 2009 (1);1;Escolas
Escolas - Ensino médio - escola pública municipal - 2009 (1);2;Escolas
Escolas - Ensino médio - escola privada - 2009 (1);4;Escolas
Escolas - Ensino pré-escolar - 2009 (1);37;Escolas
Escolas - Ensino pré-escolar - escola pública estadual - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública federal - 2009 (1);0;Escolas
Escolas - Ensino pré-escolar - escola pública municipal - 2009 (1);33;Escolas
Escolas - Ensino pré-escolar - escola privada - 2009 (1);4;Escolas

Fonte: (1)Ministério da Educação, Instituto Nacional de Estudos e Pesquisas Educacionais - INEP - Censo Educacional 2009. 
NOTA: Atribui-se zeros aos valores dos municípios onde não há ocorrência da variável.

